transport_type,stop,line,delay,theoretical_time,expectedArrivalTime,date,direction,date_year,date_month,date_weekday,date_hour,date_minute,date_seconde,temp,humidity,visibility,wind,rain
0,6608G,51,,,,2020-11-08 00:49:15.871871,,2020,11,6,0,49,15,279.88,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:49:15.872518,,2020,11,6,0,49,15,279.88,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:50:18.072576,,2020,11,6,0,50,18,279.88,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:50:18.073270,,2020,11,6,0,50,18,279.88,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:50:18.073924,,2020,11,6,0,50,18,279.88,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:50:18.074599,,2020,11,6,0,50,18,279.88,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:51:21.869399,,2020,11,6,0,51,21,279.88,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:51:21.870114,,2020,11,6,0,51,21,279.88,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:51:21.870770,,2020,11,6,0,51,21,279.88,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:51:21.871413,,2020,11,6,0,51,21,279.88,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:52:22.706860,,2020,11,6,0,52,22,279.88,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:52:22.707546,,2020,11,6,0,52,22,279.88,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:52:22.708199,,2020,11,6,0,52,22,279.88,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:52:22.708849,,2020,11,6,0,52,22,279.88,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:53:23.566225,,2020,11,6,0,53,23,279.88,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:53:23.566913,,2020,11,6,0,53,23,279.88,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:53:23.567565,,2020,11,6,0,53,23,279.88,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:53:23.568219,,2020,11,6,0,53,23,279.88,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:54:24.202190,,2020,11,6,0,54,24,279.88,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:54:24.202882,,2020,11,6,0,54,24,279.88,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:54:24.203538,,2020,11,6,0,54,24,279.88,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:54:24.204183,,2020,11,6,0,54,24,279.88,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:55:25.058972,,2020,11,6,0,55,25,279.88,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:55:25.059504,,2020,11,6,0,55,25,279.88,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:55:25.060008,,2020,11,6,0,55,25,279.88,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:55:25.060512,,2020,11,6,0,55,25,279.88,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:56:25.674243,,2020,11,6,0,56,25,279.88,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:56:25.674931,,2020,11,6,0,56,25,279.88,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:56:25.675583,,2020,11,6,0,56,25,279.88,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:56:25.676234,,2020,11,6,0,56,25,279.88,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:57:26.301317,,2020,11,6,0,57,26,279.88,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:57:26.302036,,2020,11,6,0,57,26,279.88,87,10000,1.5,0
0,6608G,51,,,,2020-11-08 00:57:26.302697,,2020,11,6,0,57,26,279.88,87,10000,1.5,0
0,6608G,82,,,,2020-11-08 00:57:26.303341,,2020,11,6,0,57,26,279.88,87,10000,1.5,0
0,0089,39,,,,2020-11-08 00:58:27.117902,,2020,11,6,0,58,27,279.88,87,10000,1.5,0
0,0089,44,,,,2020-11-08 00:58:27.118633,,2020,11,6,0,58,27,279.88,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:58:27.119294,,2020,11,6,0,58,27,279.88,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:58:27.119937,,2020,11,6,0,58,27,279.88,87,10000,1,0
0,0089,39,,,,2020-11-08 00:59:27.961868,,2020,11,6,0,59,27,279.88,87,10000,1,0
0,0089,44,,,,2020-11-08 00:59:27.962590,,2020,11,6,0,59,27,279.88,87,10000,1,0
0,6608G,51,,,,2020-11-08 00:59:27.963255,,2020,11,6,0,59,27,279.88,87,10000,1,0
0,6608G,82,,,,2020-11-08 00:59:27.963907,,2020,11,6,0,59,27,279.88,87,10000,1,0
0,0089,39,,,,2020-11-08 01:00:30.577575,,2020,11,6,1,0,30,279.88,87,10000,1,0
0,0089,44,,,,2020-11-08 01:00:30.578295,,2020,11,6,1,0,30,279.88,87,10000,1,0
0,6608G,51,,,,2020-11-08 01:00:30.578956,,2020,11,6,1,0,30,279.88,87,10000,1,0
0,6608G,82,,,,2020-11-08 01:00:30.579610,,2020,11,6,1,0,30,279.88,87,10000,1,0
0,0089,39,,,,2020-11-08 01:01:33.202236,,2020,11,6,1,1,33,279.88,87,10000,1,0
0,0089,44,,,,2020-11-08 01:01:33.202928,,2020,11,6,1,1,33,279.88,87,10000,1,0
